"Count","Source","Type","LiveAction","YearMade","PlexTitle","Episode","EpisodeName","StoryTime","PlexId","imdb","tmdb","tvdb"
1,"MGM","Film","True",1994,"FILMS",,"Stargate",,"NULL","NULL","NULL","NULL"
2,"MGM","Film","True",2018,"FILMS",,"Stargate Origins: Catherine",,"NULL","NULL","NULL","NULL"
3,"COMMAND","Show","True",2018,"Stargate Origins","s01e01","Episode 1",,"NULL","NULL","NULL","NULL"
4,"COMMAND","Show","True",2018,"Stargate Origins","s01e02","Episode 2",,"NULL","NULL","NULL","NULL"
5,"COMMAND","Show","True",2018,"Stargate Origins","s01e03","Episode 3",,"NULL","NULL","NULL","NULL"
6,"COMMAND","Show","True",2018,"Stargate Origins","s01e04","Episode 4",,"NULL","NULL","NULL","NULL"
7,"COMMAND","Show","True",2018,"Stargate Origins","s01e05","Episode 5",,"NULL","NULL","NULL","NULL"
8,"COMMAND","Show","True",2018,"Stargate Origins","s01e06","Episode 6",,"NULL","NULL","NULL","NULL"
9,"COMMAND","Show","True",2018,"Stargate Origins","s01e07","Episode 7",,"NULL","NULL","NULL","NULL"
10,"COMMAND","Show","True",2018,"Stargate Origins","s01e08","Episode 8",,"NULL","NULL","NULL","NULL"
11,"COMMAND","Show","True",2018,"Stargate Origins","s01e09","Episode 9",,"NULL","NULL","NULL","NULL"
12,"COMMAND","Show","True",2018,"Stargate Origins","s01e10","Episode 10",,"NULL","NULL","NULL","NULL"
13,"SCI_FI","Show","True",1997,"Stargate SG-1","s01e01","Children of the Gods (1)",,"NULL","NULL","NULL","NULL"
14,"SCI_FI","Show","True",1997,"Stargate SG-1","s01e02","Children of the Gods (2)",,"NULL","NULL","NULL","NULL"
15,"SCI_FI","Show","True",1997,"Stargate SG-1","s01e03","The Enemy Within",,"NULL","NULL","NULL","NULL"
16,"SCI_FI","Show","True",1997,"Stargate SG-1","s01e04","Emancipation",,"NULL","NULL","NULL","NULL"
17,"SCI_FI","Show","True",1997,"Stargate SG-1","s01e05","The Broca Divide",,"NULL","NULL","NULL","NULL"
18,"SCI_FI","Show","True",1997,"Stargate SG-1","s01e06","The First Commandment",,"NULL","NULL","NULL","NULL"
19,"SCI_FI","Show","True",1997,"Stargate SG-1","s01e07","Cold Lazarus",,"NULL","NULL","NULL","NULL"
20,"SCI_FI","Show","True",1997,"Stargate SG-1","s01e08","The Nox",,"NULL","NULL","NULL","NULL"
21,"SCI_FI","Show","True",1997,"Stargate SG-1","s01e09","Brief Candle",,"NULL","NULL","NULL","NULL"
22,"SCI_FI","Show","True",1997,"Stargate SG-1","s01e10","Thor's Hammer",,"NULL","NULL","NULL","NULL"
